!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
MBA1	YBR185C	viable 	classical genetics	classical genetics	null				Rep M and Grivell LA (1996) PMID:8690083
MBB1	YJL199C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MBF1	YOR298C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MBF1	YOR298C-A	viable 	classical genetics	classical genetics	null	Other			Takemaru K, et al. (1998) PMID:9710580
MBP1	YDL056W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MBR1	YKL093W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCA1	YOR197W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCH1	YDL054C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCH1	YDL054C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MCH2	YKL221W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCH2	YKL221W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MCH4	YOL119C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCH4	YOL119C	viable 	classical genetics	classical genetics	null	CEN.PK			Lafuente MJ and Gancedo C (1999) PMID:10407273
MCH4	YOL119C	viable 	classical genetics	classical genetics	null	S288C			Lafuente MJ and Gancedo C (1999) PMID:10407273
MCH5	YOR306C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCH5	YOR306C	viable 	classical genetics	classical genetics	null	S288C			Lafuente MJ and Gancedo C (1999) PMID:10407273
MCH5	YOR306C	viable 	classical genetics	classical genetics	null	CEN.PK			Lafuente MJ and Gancedo C (1999) PMID:10407273
MCK1	YNL307C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCM10	YIL150C	viable 	classical genetics	classical genetics	reduction of function Allele: mcm10-L242A	Other			Das-Bradoo S, et al. (2006) PMID:16782870
MCM16	YPR046W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCM21	YDR318W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCM22	YJR135C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCM22	YJR135C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
MCM4	YPR019W	viable 	classical genetics	classical genetics	null	W303			Li XC and Tye BK (2011) PMID:21242538
MCP1	YOR228C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCP2	YLR253W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCR1	YKL150W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCR1	YKL150W	viable 	classical genetics	classical genetics	null	Other			Vandenbol M and Fairhead C (2000) PMID:10773443
MCT1	YOR221C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCX1	YBR227C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCY1	YGR012W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MCY1	YGR012W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MDE1	YJR024C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDG1	YNL173C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDH1	YKL085W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDH2	YOL126C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDH3	YDL078C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDJ2	YNL328C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDL1	YLR188W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDL1	YLR188W	viable 	classical genetics	classical genetics	null	W303		Details: no respiratory defect 	Young L, et al. (2001) PMID:11251115
MDL2	YPL270W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM1	YML104C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM10	YAL010C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM12	YOL009C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM20	YOL076W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM30	YLR368W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM30	YLR368W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MDM31	YHR194W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM32	YOR147W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM34	YGL219C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM35	YKL053C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM38	YOL027C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDM38	YOL027C	viable 	classical genetics	classical genetics	null	CEN.PK			Rad MR, et al. (1997) PMID:9090058
MDR1	YGR100W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDS3	YGL197W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDV1	YJL112W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MDY2	YOL111C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEC3	YLR288C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MED1	YPR070W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MED2	YDL005C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEF1	YLR069C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEF2	YJL102W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEH1	YKR007W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEH1	YKR007W	viable 	classical genetics	classical genetics	null	S288C			Wysocki R, et al. (1999) PMID:10095102
MEI4	YER044C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEI5	YPL121C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEI5	YPL121C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MEK1	YOR351C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEP1	YGR121C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEP2	YNL142W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEP3	YPR138C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MER1	YNL210W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET1	YKR069W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET10	YFR030W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET12	YPL023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET12	YPL023C	viable 	classical genetics	classical genetics	null	Other			Raymond RK, et al. (1999) PMID:10600168
MET13	YGL125W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET13	YGL125W	viable 	classical genetics	classical genetics	null	S288C			Tizon B, et al. (1999) PMID:10029993
MET13	YGL125W	viable 	classical genetics	classical genetics	null	Other			Raymond RK, et al. (1999) PMID:10600168
MET14	YKL001C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET16	YPR167C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET17	YLR303W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET18	YIL128W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET2	YNL277W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET22	YOL064C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET28	YIR017C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET3	YJR010W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET31	YPL038W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET32	YDR253C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET5	YJR137C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET6	YER091C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET7	YOR241W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MET7	YOR241W	viable 	classical genetics	classical genetics	null	S288C		Condition: medium supplemented with methionine Details: requires methionine supplementation for viability 	Salcedo E, et al. (2001) PMID:11223131
MET8	YBR213W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MEU1	YLR017W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MF(ALPHA)1	YPL187W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MF(ALPHA)2	YGL089C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MFA2	YNL145W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MFA2	YNL145W	viable 	classical genetics	classical genetics	null	Other			Michaelis S and Herskowitz I (1988) PMID:3285180
MFB1	YDR219C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MFG1	YDL233W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MFG1	YDL233W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MFM1	YPL060W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MFT1	YML062C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGA1	YGR249W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGA2	YIR033W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGA2	YIR033W	viable 	classical genetics	classical genetics	null	S288C			Zhang S, et al. (1997) PMID:9234728
MGL2	YMR210W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGL2	YMR210W	viable 	classical genetics	classical genetics	null				Saerens SM, et al. (2006) PMID:16361250
MGM1	YOR211C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGM101	YJR144W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGR1	YCL044C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MGR1	YCL044C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGR2	YPL098C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGR3	YMR115W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGS1	YNL218W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGT1	YDL200C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MGT1	YDL200C	viable 	classical genetics	classical genetics	null	Other			Xiao W, et al. (1991) PMID:2065659
MHF1	YOL086W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
MHF2	YDL160C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
MHO1	YJR008W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MHP1	YJL042W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MHR1	YDR296W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MHT1	YLL062C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC10	YCL057C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
MIC12	YBR262C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC19	YFR011C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC26	YGR235C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC26	YGR235C	viable 	classical genetics	classical genetics	null	S288C			Stevenson LF, et al. (2001) PMID:11274415
MIC27	YNL100W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC60	YKR016W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIC60	YKR016W	viable 	classical genetics	classical genetics	null	S288C			Zuniga S, et al. (1999) PMID:10375630
MID1	YNL291C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MID1	YNL291C	viable 	classical genetics	classical genetics	null				Iida H, et al. (1994) PMID:7526155
MID2	YLR332W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIG1	YGL035C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIG1	YGL035C	viable 	classical genetics	classical genetics	null	Other			Kitanovic A and Wolfl S (2006) PMID:16199065
MIG2	YGL209W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIG2	YGL209W	viable 	classical genetics	classical genetics	null	S288C			Lutfiyya LL and Johnston M (1996) PMID:8756637
MIG3	YER028C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIH1	YMR036C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
MIL1	YFL034W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
